,Image,Title,Directors,Rating,Description,Genre
6677,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Lagaan: Érase una vez en la India, Ashutosh Gowariker ,8.1,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Music
6678,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,El velo pintado, John Curran ,7.4,"A British medical doctor fights a cholera epidemic in a small Chinese village, while being trapped at home in a loveless marriage to an unfaithful wife.",Drama
6679,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,El velo pintado, John Curran ,7.4,"A British medical doctor fights a cholera epidemic in a small Chinese village, while being trapped at home in a loveless marriage to an unfaithful wife.",Romance
6680,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,El experimento, Oliver Hirschbiegel ,7.7,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence.",Drama
6681,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,El experimento, Oliver Hirschbiegel ,7.7,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence.",Thriller
6682,"https://m.media-amazon.com/images/M/MV5BZTllNDU0ZTItYTYxMC00OTI4LThlNDAtZjNiNzdhMWZiYjNmXkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_UX67_CR0,0,67,98_AL_.jpg",Un mundo de fantasía, Mel Stuart ,7.8,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,Family
6683,"https://m.media-amazon.com/images/M/MV5BZTllNDU0ZTItYTYxMC00OTI4LThlNDAtZjNiNzdhMWZiYjNmXkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_UX67_CR0,0,67,98_AL_.jpg",Un mundo de fantasía, Mel Stuart ,7.8,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,Music
6684,"https://m.media-amazon.com/images/M/MV5BZTllNDU0ZTItYTYxMC00OTI4LThlNDAtZjNiNzdhMWZiYjNmXkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_UX67_CR0,0,67,98_AL_.jpg",Un mundo de fantasía, Mel Stuart ,7.8,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,Fantasy
6685,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Chak De! India, Shimit Amin ,8.1,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",Drama
6686,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Chak De! India, Shimit Amin ,8.1,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",Sports
6687,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Chak De! India, Shimit Amin ,8.1,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",Family
6688,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,El tercer hombre, Carol Reed ,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Thriller
6689,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,El tercer hombre, Carol Reed ,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Mystery
6690,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,El tercer hombre, Carol Reed ,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Film-Noir
6691,"https://m.media-amazon.com/images/M/MV5BYTNiYTNkNTAtYzE3ZS00ZDQ1LWEwZTYtZjI1NzYzMWJjY2U4XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg","Love, Death & Robots",No directors,8.4,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",Animation
6692,"https://m.media-amazon.com/images/M/MV5BYTNiYTNkNTAtYzE3ZS00ZDQ1LWEwZTYtZjI1NzYzMWJjY2U4XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg","Love, Death & Robots",No directors,8.4,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",Documentary
6693,"https://m.media-amazon.com/images/M/MV5BYTNiYTNkNTAtYzE3ZS00ZDQ1LWEwZTYtZjI1NzYzMWJjY2U4XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg","Love, Death & Robots",No directors,8.4,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",Action
